No,Key,Summary_Description,label,indicator
11,LUCENE-8909,"Deprecate getFieldNames from IndexWriter - From SOLR-12368  {quote}Would be nice to be able to remove IndexWriter.getFieldNames as well, which was added in LUCENE-7659 only for this workaround.{quote}    Once Solr task resolved, deprecate {{IndexWriter#getFieldNames}} from 8x and remove it from master",ATD,viomod
12,LUCENE-8856,"Move Intervals query from sandbox to queries module - Interval queries are stable now and being used in production.� I think it's time to move them out of the sandbox, and I propose putting them in the queries submodule",ATD,viomod
13,LUCENE-8811,"Add maximum clause count check to IndexSearcher rather than BooleanQuery - Currently we only check whether boolean queries have too many clauses. However there are other ways that queries may have too many clauses, for instance if you have boolean queries that have themselves inner boolean queries.    Could we use the new Query visitor API to move this check from BooleanQuery to IndexSearcher in order to make this check more consistent across queries? See for instance LUCENE-8810 where a rewrite rule caused the maximum clause count to be hit even though the total number of leaf queries remained the same.",ATD,viomod
14,CASSANDRA-18696,"Update JMH - [~marianne-manaog] was trying to do some profiling and noticed illegal access exceptions. Our version of JMH is from 2018; as per my recommendation, upgrading to the latest one from the end of 2022 solved her problems. The new version is tested with the JDK versions up to 17.",ATD,obstech
15,CASSANDRA-17951,"Update AssertJ - From the changelog of AssertJ [here,|https://assertj.github.io/doc/#assertj-core-3-23-1-release-notes]ÃÂ it seems JDK17 is tested and relevant issues fixed as per 3.23.1, and we are on 3.15.0

This ticket should accommodate an upgrade to the latest version of AssertJ for trunk.
",ATD,obstech
16,LUCENE-8730,Ensure WordDelimiterGraphFilter always emits its original token first - WordDelimiterFilter and WordDelimiterGraphFilter behave almost identically outside setting position length; the only difference being that WDGF can sometimes emit its original token as the second output token rather than the first. We should change this to conform to the behaviour of the older filter - this will make it much easier to remove WDF entirely and cut over tests that use it incidentally.,ATD,viomod
17,LUCENE-8829,"TopDocs#Merge is Tightly Coupled To Number Of Collectors Involved - While investigating LUCENE-8819, I understood that TopDocs#merge's order of results are indirectly dependent on the number of collectors involved in the merge. This is troubling because 1) The number of collectors involved in a merge are cost based and directly dependent on the number of slices created for the parallel searcher case. 2) TopN hits code path will invoke merge with a single Collector, so essentially, doing the same TopN query with single threaded and parallel threaded searcher will invoke different order of results, which is a bad invariant that breaks.    �    The reason why this happens is because of the subtle way TopDocs#merge sets shardIndex in the ScoreDoc population during populating the priority queue used for merging. ShardIndex is essentially set to the ordinal of the collector which generates the hit. This means that the shardIndex is dependent on the number of collectors, even for the same set of hits.    �    In case of no sort order specified, shardIndex is used for tie breaking when scores are equal. This translates to different orders for same hits with different shardIndices.    �    I propose that we remove shardIndex from the default tie breaking mechanism and replace it with docID. DocID order is the de facto that is expected during collection, so it might make sense to use the same factor during tie breaking when scores are the same.    �    CC",ATD,viomod
18,KAFKA-16062,Upgrade mockito to 5.8.0 - Upgrading to use the latest version of mockito. Updated from 5.5.0 to 5.8.0,ATD,obstech
19,KAFKA-12820,"Upgrade maven-artifact dependency to resolve CVE-2021-26291 - Current Gradle builds of Kafka contain a dependency of `maven-artifact` version 3.6.3, which contains CVE-2021-26291 ([https://nvd.nist.gov/vuln/detail/CVE-2021-26291).]Â This vulnerability has been fixed in Maven 3.8.1 ([https://maven.apache.org/docs/3.8.1/release-notes.html]).Â Apache Kafka should update `dependencies.gradle` to use the latest `maven-artifact` library to eliminate this vulnerability.",ATD,obstech
20,KAFKA-10384,"Separate converters from generated messages - Separate the JSON converter classes from the message classes, so that the clients module can be used without Jackson on the CLASSPATH.",ATD,viomod
21,KAFKA-9567,"Docs and system tests for ZooKeeper 3.5.7 and KIP-515 - These changes depend on [KIP-515: Enable ZK client to use the new TLS supported authentication|https://cwiki.apache.org/confluence/display/KAFKA/KIP-515%3A+Enable+ZK+client+to+use+the+new+TLS+supported+authentication], which was only added to 2.5.0. The upgrade to ZooKeeper 3.5.7 was merged to both 2.5.0 and 2.4.1 via https://issues.apache.org/jira/browse/KAFKA-9515, but this change must only be merged to 2.5.0 (it will break the system tests if merged to 2.4.1).",ATD,obstech
22,KAFKA-8069,"Committed offsets get cleaned up right after the coordinator loading them back from __consumer_offsets in broker with old inter-broker protocol version (< 2.2) - After the 2.1 release, if the broker hasn't been upgrade to the latest inter-broker protocol version, 
the committed offsets stored in the __consumer_offset topic will get cleaned up way earlier than it should be when the offsets are loaded back from the __consumer_offset topic in GroupCoordinator, which will happen during leadership transition or after broker bounce.

TL;DR
For V1 on-disk format for __consumer_offsets, we have the *expireTimestamp* field and if the inter-broker protocol (IBP) version is prior to 2.1 (prior to [KIP-211|https://cwiki.apache.org/confluence/display/KAFKA/KIP-211%3A+Revise+Expiration+Semantics+of+Consumer+Group+Offsets]) for a kafka 2.1 broker, the logic of getting the expired offsets looks like:
{code:java}
def getExpiredOffsets(baseTimestamp: CommitRecordMetadataAndOffset => Long): Map[TopicPartition, OffsetAndMetadata] = {
 offsets.filter {
 case (topicPartition, commitRecordMetadataAndOffset) =>
 ... && {
 commitRecordMetadataAndOffset.offsetAndMetadata.expireTimestamp match {
 case None =>
 // current version with no per partition retention
 currentTimestamp - baseTimestamp(commitRecordMetadataAndOffset) >= offsetRetentionMs
 case Some(expireTimestamp) =>
 // older versions with explicit expire_timestamp field => old expiration semantics is used
 currentTimestamp >= expireTimestamp
 }
 }
 }....
 }
{code}
The expireTimestamp in the on-disk offset record can only be set when storing the committed offset in the __consumer_offset topic. But the GroupCoordinator also has keep a in-memory representation for the expireTimestamp (see the codes above), which can be set in the following two cases:
 # Upon the GroupCoordinator receiving OffsetCommitRequest, the expireTimestamp is set using the following logic:
{code:java}
expireTimestamp = offsetCommitRequest.retentionTime match {
 case OffsetCommitRequest.DEFAULT_RETENTION_TIME => None
 case retentionTime => Some(currentTimestamp + retentionTime)
}
{code}
In all the latest client versions, the consumer will set out OffsetCommitRequest with DEFAULT_RETENTION_TIME so the expireTimestamp will always be None in this case. *This means any committed offset set in this case will always hit the ""case None"" in the ""getExpiredOffsets(...)"" when coordinator is doing the cleanup, which is correct.*

 # Upon the GroupCoordinatorReceiving loading the committed offset stored in the __consumer_offsets topic from disk, the expireTimestamp is set using the following logic if IBP<2.1:
{code:java}
val expireTimestamp = value.get(OFFSET_VALUE_EXPIRE_TIMESTAMP_FIELD_V1).asInstanceOf[Long]
{code}
and the logic to persist the expireTimestamp is:
{code:java}
// OffsetCommitRequest.DEFAULT_TIMESTAMP = -1
value.set(OFFSET_VALUE_EXPIRE_TIMESTAMP_FIELD_V1, offsetAndMetadata.expireTimestamp.getOrElse(OffsetCommitRequest.DEFAULT_TIMESTAMP))
{code}
Since the in-memory expireTimestamp will always be None in our case as mentioned in 1), we will always store -1 on-disk. Therefore, when the offset is loaded from the __consumer_offsets topic, the in-memory expireTimestamp will always be set to -1. *This means any committed offset set in this case will always hit ""case Some(expireTimestamp)"" in the ""getExpiredOffsets(...)"" when coordinator is doing the cleanup, which basically indicates we will always expire the committed offset on the first expiration check (which is shortly after they are loaded from __consumer_offsets topic)*.

I am able to reproduce this bug on my local box with one broker using 2.*,1.* and 0.11.* consumer. The consumer will see null committed offset after the broker is bounced.

This bug is introduced by [PR-5690|https://github.com/apache/kafka/pull/5690] in the kafka 2.1 release and the fix is very straight-forward, which is basically set the expireTimestamp to None if it is -1 in the on-disk format.",ATD,obstech
23,LUCENE-8527,"Upgrade JFlex to 1.7.0 - JFlex 1.7.0, supporting Unicode 9.0, was released recently: [http://jflex.de/changelog.html#jflex-1.7.0]. We should upgrade.",ATD,obstech
24,KAFKA-5311,"Support ExtendedDeserializer in Kafka Streams - KIP-82 introduced the concept of message headers and introduced an ExtendedDeserializer interface that allowed a Deserializer to access those message headers.

Change Kafka Streams to support the use of ExtendedDeserializer to provide compatibility with Kafka Clients that use the new header functionality.",ATD,obstech
25,LUCENE-8332,"New ConcatenateGraphFilter (move/rename CompletionTokenStream) - Lets move and rename the CompletionTokenStream in the suggest module into the analysis module renamed as ConcatenateGraphFilter. See comments in LUCENE-8323 leading to this idea. Such a TokenStream (or TokenFilter?) has several uses: * for the suggest module * by the SolrTextTagger for NER/ERD use cases - SOLR-12376 * for doing complete match search efficiently It will need a factory - a TokenFilterFactory, even though we don't have a TokenFilter based subclass of TokenStream. It appears there is no back-compat concern in it suddenly disappearing from the suggest module as it's marked experimental and it only seems to be public now perhaps due to some technicality (it has package level constructors).",ATD,viomod
26,LUCENE-8217,Remove IndexFileDeleter#decRefWhileHandlingExceptions - This method is a duplicate of IDF#decRef(...) and hides exceptions from the caller. This change removes this method and replaces it with it's counterpart that escalades the exception.,ATD,viomod
27,SPARK-4147,"Reduce log4j dependency - spark-core has a hard dependency on log4j, which shouldn't be necessary since slf4j is used. I tried to exclude slf4j-log4j12 and log4j dependencies in my sbt file.

Excluding org.slf4j.slf4j-log4j12 works fine if logback is on the classpath. However, removing the log4j dependency fails because in https://github.com/apache/spark/blob/v1.1.0/core/src/main/scala/org/apache/spark/Logging.scala#L121 a static method of org.apache.log4j.LogManager is accessed *even if* log4j is not in use.

I guess removing all dependencies on log4j may be a bigger task, but it would be a great help if the access to LogManager would be done only if log4j use was detected before. (This is a 2-line change.)",ATD,viomod
28,SPARK-36629,"Upgrade aircompressor to 1.21 - We need to upgrade `aircompressor` to bring the latest bug fix. Aircompressor 1.17/1.18/1.19/1.20 has this bug.
- https://github.com/airlift/aircompressor/commit/1e364f713390008eada1daa451e7b42cd6647250",ATD,obstech
29,SPARK-4147,"Reduce log4j dependency - spark-core has a hard dependency on log4j, which shouldn't be necessary since slf4j is used. I tried to exclude slf4j-log4j12 and log4j dependencies in my sbt file.

Excluding org.slf4j.slf4j-log4j12 works fine if logback is on the classpath. However, removing the log4j dependency fails because in https://github.com/apache/spark/blob/v1.1.0/core/src/main/scala/org/apache/spark/Logging.scala#L121 a static method of org.apache.log4j.LogManager is accessed *even if* log4j is not in use.

I guess removing all dependencies on log4j may be a bigger task, but it would be a great help if the access to LogManager would be done only if log4j use was detected before. (This is a 2-line change.)",ATD,viomod
30,SPARK-29617,"Upgrade to ORC 1.5.7 - This issue aims to upgrade to Apache ORC 1.5.7 to bring the latest bug fixes. The following is the full release note of Apache ORC 1.5.7.

https://issues.apache.org/jira/projects/ORC/versions/12345702",ATD,obstech
31,LUCENE-7963,"Useless getAttribute() in DefaultIndexingChain causes performance drop - Some background: We have spotted a significant drop in indexing throughput on machines with a large number of cores (see https://github.com/elastic/elasticsearch/issues/26339 for details). We finally managed to isolate the behavior in a JMH ""microbenchmark"". Here is the output of running that benchmark with 32 threads with JMH's perfasm profiler (also Oracle Development Studio finds the same hotspot): {code} ....[Hottest Region 1].............................................................................. C2, level 4, org.apache.lucene.index.DefaultIndexingChain$PerField::invert, version 1231 (792 bytes) 0x00007f52d56b026a: xor %r10d,%r10d ;*invokevirtual isAssignableFrom ; - org.apache.lucene.util.AttributeSource::addAttribute@28 (line 207) ; - org.apache.lucene.document.Field$BinaryTokenStream::&lt;init&gt;@8 (line 512) ; - org.apache.lucene.document.Field::tokenStream@82 (line 491) ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@99 (line 729) 0x00007f52d56b026d: mov $0x8,%r11d ;*invokeinterface iterator ; - org.apache.lucene.util.AttributeSource::getCurrentState@46 (line 254) ; - org.apache.lucene.util.AttributeSource::clearAttributes@1 (line 269) ; - org.apache.lucene.document.Field$BinaryTokenStream::incrementToken@10 (line 532) ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@153 (line 736) 0.00% 0.02% ? 0x00007f52d56b0273: test %r10,%r10 ? ? 0x00007f52d56b0276: je 0x00007f52d56b0292 ;*getfield fieldsData ? ? ; - org.apache.lucene.document.Field::binaryValue@1 (line 441) ? ? ; - org.apache.lucene.document.Field::tokenStream@65 (line 487) ? ? ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@99 (line 729) 0.00% 0.00% ? ? 0x00007f52d56b0278: mov (%r11),%rsi ;*getfield next ? ? ; - java.util.HashMap::getNode@137 (line 580) ? ? ; - java.util.LinkedHashMap::get@6 (line 440) ? ? ; - org.apache.lucene.util.AttributeSource::getAttribute@6 (line 245) ? ? ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@143 (line 734) 0.09% 0.51% ? ? 0x00007f52d56b027b: mov 0x18(%rsi),%r8 23.70% 3.54% ? ? 0x00007f52d56b027f: mov $0x7f4926a81d88,%rcx ; {metadata(&apos;org/apache/lucene/analysis/tokenattributes/CharTermAttribute&apos;)} 0.00% 0.00% ? ? 0x00007f52d56b0289: cmp %rcx,%r8 ? ? 0x00007f52d56b028c: jne 0x00007f52d56b0949 ;*instanceof ? ? ; - org.apache.lucene.document.Field::binaryValue@4 (line 441) ? ? ; - org.apache.lucene.document.Field::tokenStream@65 (line 487) ? ? ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@99 (line 729) 0.01% 0.00% ? ? 0x00007f52d56b0292: test %r10,%r10 ? 0x00007f52d56b0295: je 0x00007f52d56b1e0d ;*invokevirtual addAttributeImpl ? ; - org.apache.lucene.util.AttributeSource::addAttribute@80 (line 213) ? ; - org.apache.lucene.document.Field$StringTokenStream::&lt;init&gt;@8 (line 550) ? ; - org.apache.lucene.document.Field::tokenStream@47 (line 483) ? ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@99 (line 729) 0.01% 0.00% ? 0x00007f52d56b029b: mov (%r11),%rsi ;*invokevirtual hashCode ? ; - java.util.HashMap::hash@9 (line 338) ? ; - java.util.LinkedHashMap::get@2 (line 440) ? ; - org.apache.lucene.util.AttributeSource::getAttribute@6 (line 245) ? ; - org.apache.lucene.index.DefaultIndexingChain$PerField::invert@143 (line 734) {code} You can see that a significant amount of time is spent in {{mov $0x7f4926a81d88,%rcx}}. It turns out that this maps to the following line in Java ({{DefaultIndexingChain$PerField::invert}}): {code:java} CharTermAttribute termAtt = tokenStream.getAttribute(CharTermAttribute.class); {code} Which is - luckily - unused (and removed by the attached patch). We have verified the impact of the change with an Elasticsearch macrobenchmark which indexes 165,346,692 documents (~ 74GB) with 24 clients concurrently. The reported numbers are median indexing throughput during that benchmark against a single Elasticsearch node: * Without the patch: 125418 documents/s * With the patch: 221237 documents/s Details about the benchmark setup etc. are mentioned in the [Elasticsearch issue #26339|https://github.com/elastic/elasticsearch/issues/26339] if you're interested. Unfortunately, it is beyond me why writing this register to main memory takes such a long time and why C2 did not eliminate this line as dead code to begin with.",ATD,viomod
32,CAMEL-8180,"Incorrect handling of ConsumerTimeoutException - When there is 1 consumer connector and multiple consumer threads, the idea to handle consumer offset is to sync all consumer threads via cyclic barrier. In order to make sure threads will step on the barrier - ""consumer.timeout.ms"" property needs to be set, otherwise all threads may wait infinite time on ""hasNext()"" iterator call, since number of partitions can be less than number of threads.
Attaching patch which fixes handling of ConsumerTimeoutException.",ATD,viomod
33,CAMEL-7646,Remove cyclic package dependency in xmlsecurity component - Code cleanup for xmlsecurity component: remove cyclic package dependency,ATD,viomod
34,CASSANDRA-18630,"jackson-databind-2.13.2.2.jar vulnerability: CVE-2023-35116 - https://nvd.nist.gov/vuln/detail/CVE-2023-35116

{noformat}
 An issue was discovered jackson-databind thru 2.15.2 allows attackers to cause a denial of service or other unspecified impacts via crafted object that uses cyclic dependencies. NOTE: the vendor's perspective is that the product is not intended for use with untrusted input.
{noformat}",ATD,viomod
35,DRILL-7991,"Add Configuration Option to HDF5 Reader to Skip Preview - When viewing HDF5 metadata, Drill will render a preview of underlying datasets. Â For large files or very nested datasets, or large files, this can cause serious performance degradations and isn't necessarily very useful. Â 

This PR adds a configuration option to the configuration for HDF5 which allows you to disable the preview in the metadata view.",ATD,viomod
36,DRILL-6101,"Optimize Implicit Columns Processing - Problem Description -
 * Apache Drill allows users to specify columns even for SELECT STAR queries
 * From my discussion with [~paul-rogers], Apache Calcite has a limitation where the, extra columns are not provided
 * The workaround has been to always include all implicit columns forÂ SELECT STAR queries
 * Unfortunately, the current implementation is very inefficient as implicit column values get duplicated; this leads to substantial performance degradation when the number of rows are large

Suggested Optimization -
 * The NullableVarChar vector should be enhanced to efficiently store duplicate values
 * This will not only address the current Calcite limitations (for SELECT STAR queries) but also optimize all queries with implicit columns

Â",ATD,viomod
37,CAMEL-16872,"Upgrade xchange to 5.0.11 - The 5.0.8 version currently used by Camel uses some Binance APIs that are supposed to no longer be available.

https://www.binance.com/en/support/announcement/f45dde7da58b473aa885349946bed269

We should upgrade to the latest xchange version as this has been fixed. 

See also:

https://github.com/apache/camel-quarkus/issues/3016",ATD,obstech
38,LUCENE-7873,"Remove context classloader from SPI lookups by default - As discussed on LUCENE-7870, we should really remove the context class loader from Lucene's SPI lookup (NamedSPLoader, SPIClassIterator, AnalysisSPI stuff). {quote} My idea would be (as stated before): Get rid of the Context Classloader in SPI lookups! Lucene never uses it, it is just there for backwards compatibility. The current setup of SPI does not work with modules of Java 9 and it does not work with stuff in completely different classloaders. So OSGI fails in any case, if you have lucene-core.jar and lucene-backwards-codecs.jar as OSGI modules, because both would use different loaders. The context loader won't help. The problem is that we may break some apps that rely on the context loader traversal. In my opinion, we may add a system property that is read on setup of NamedSPILoader / SPIClassIterator that can be set to true (e.g. lucene.useContextLoaderForSPI, defaulting to false). This may fix legacy apps and new apps would only traverse the classloader that loaded lucene-core.jar. For Java 9 and ""Lucene as Java 9 module"") we have to refactor this anyways, becaue we need to respect module-info,java and look for SPI exports. FYI: Context class loaders were the worst idea ever in Java. I personally hate them and I would do anything - just to make them disappear from the spec! When drinking beers with Mark Reinhold in Brussels, I am always reminding him about this together with the inability to unmap byte buffers... :-) {quote} Unfortunately the sysprop approach is the only way to handle this as this must be done very early on JVM/Lucene setup. If somebody called Codec.forName() its too late to change the default... But I am fine with using a sysprop with AccessController.doPrivileged(), as this is only required for those legacy WEBAPP stuff. Normal applications should see the META-INF files on the application classloader anyways.",ATD,viomod
39,CAMEL-14174,"AWS S3 component should respect the maxMessagesPerPoll - When checking for the existence of the bucket the AWS S3 endpoint does not respect the values set with maxMessagesPerPoll [1]. Although it's not a severe problem, it may lead to a small degradation in the route startup when dealing with very larger buckets or simply an undesired behavior for users setting the maxMessagesPerPoll option. 

Â 

I'll send a PR for this.

Â 

1. [https://github.com/apache/camel/blob/camel-3.0.0-RC3/components/camel-aws-s3/src/main/java/org/apache/camel/component/aws/s3/S3Endpoint.java#L102]",ATD,viomod
40,CAMEL-10043,Camel-Jaxb: objectFactory is never checked. This leads to performance degradation. - Since the option is always ATD and we have performance degradation we need to set the default to false too.,ATD,viomod
41,LUCENE-7850,"Remove legacy numerics - Legacy numerics have been deprecated since 6.0, we should remove them. As discussed on the dev list, we could move them to Solr so that Solr can support them for an additional major version.",ATD,viomod
42,LUCENE-7815,"Remove PostingsHighlighter in 7.0 - The UnifiedHighlighter is derived from the PostingsHighlighter, which should be quite obvious to anyone who cares to look at them. There is no feature in the PH that is not also present in the UH. The PH is marked as {{lucene.experimental}} so we may remove it in 7.0. The upgrade path is pretty easy given the API similarity. By removing the PH, the goal is to ease maintenance. Some issues lately have been applicable to both of these highlighters which is annoying to apply twice. In one case I forgot to. And of course there is user confusion by having both. What I propose to do in this issue is move {{CustomSeparatorBreakIterator}} and {{WholeBreakIterator}} out of the {{postingshighlight}} package into the {{uhighlight}} package (or perhaps add a {{common}} or {{util}} should future highlighters need them?). Then of course remove {{postingshighlight}} package.",ATD,viomod
43,CASSANDRA-13074,"DynamicEndpointSnitch frequently no-ops through early exit in multi-datacenter situations - The DynamicEndpointSnitch attempts to use timings from nodes to route reads to better performing nodes.

In a multi-datacenter situation, timings will likely be empty for nodes outside of the local datacenter, as you'll frequently only be doing local_quorum reads (or a lower consistency level). In this case, the DES exits early and returns the subsnitch ordering. This means poorly performing replicas will never be avoided, no matter how degraded they are.",ATD,viomod
44,CASSANDRA-9634,"Set kernel timer resolution on Windows - In Windows 7/Server 2008 and to a similar extent Windows 8/Server 2012, the kernel's internal time is set to an interval of 15.6ms. (Use [clockres|https://technet.microsoft.com/en-us/sysinternals/bb897568.aspx] to confirm current 'tick rate' on Windows). Win8/Server2012 have a tickless kernel w/timer coalescing ([info here|http://arstechnica.com/information-technology/2012/10/better-on-the-inside-under-the-hood-of-windows-8/2/]) and the platform shows similar performance characteristics with C* to Windows 7 with a slight edge in performance to win8/server 2012 in my testing (the testing and results of which are outside the scope of this ticket).

Some arguments against lowering the system's internal timer to 1ms are [here|https://randomascii.wordpress.com/2013/07/08/windows-timer-resolution-megawatts-wasted/]. These seem largely constrained to ""it'll drain your battery"" and ""it'll prevent your processor from being as effective in sleep states"". The 2nd is somewhat of a concern as we don't want Windows users to all of a sudden have increased CPU-usage bills from virtualized environments. In the comments, one individual mentions a VirtualBox VM spinning at 10-20% cpu just from changing that flag alone which seems mathematically unlikely, but is worth keeping an eye on and testing.

A Microsoft publication that largely reinforces the cautionary tale on power consumption can be found [here|http://download.microsoft.com/download/3/0/2/3027D574-C433-412A-A8B6-5E0A75D5B237/Timer-Resolution.docx].

With the cautionary tales on our radar, the impact on throughput and latency on the 2.2 branch on Windows is [fairly dramatic|https://docs.google.com/spreadsheets/d/1nqPhNwOVt0SU7b9lt9o4Tyl0Z1yDrV2oo7LbBPaFa6A/edit#gid=0]. A couple of caveats on these #'s: I'm not completely saturating the system as the thread count is relatively low (keeping it consistent with other testing where it *was* saturating), and the read #'s from our 2012 test environment are not affected by this timer change while I see it on 3 other bare-metal installations. The testing environment is new and we haven't worked out the kinks yet, however the write / mixed illustrate the throughput and latency #'s I've mentioned above; for reads the cpu's are sitting idle at 1-5% used by stress and C* so something else clearly needs to be addressed there; I included them for completeness sake.

Some preliminary testing on OpenStack indicates kernel-space syscall saturation w/this patch that actually *degrades* performance, however the unpatched performance numbers in our OpenStack environment are low enough that I question their validity.

Opening this ticket w/attached branch to get it on the radar / conversation going, and I'm going to update this from being hard-coded to being a tunable in the .yaml.

Initial patch [available here|https://github.com/apache/cassandra/compare/trunk...josh-mckenzie:2.2_WinTimer].",ATD,viomod
45,CASSANDRA-8550,"Internal pagination in CQL3 index queries creating substantial overhead - While benchmarking CQL3 secondary indexes in 2.1.2, we've noticed substantial performance degradation as the volume of indexed data increases. In trying to figure out what's going on, we found that a major factor contributing to this degradation appears to be logic in {{o.a.c.db.index.composites.CompositesSearcher}} used to paginate scans of index tables. In particular, in the use cases we've explored, this short algorithm used to select a page size appears to be the culprit:

{code:java}
 private int meanColumns = Math.max(index.getIndexCfs().getMeanColumns(), 1);
 // We shouldn't fetch only 1 row as this provides buggy paging in case the first row doesn't satisfy all clauses
 private int rowsPerQuery = Math.max(Math.min(filter.maxRows(), filter.maxColumns() / meanColumns), 2);
{code}

In indexes where the cardinality doesn't scale linearly with the volume of data indexed, it seems likely that the value of {{meanColumns}} will steadily rise in write-heavy workloads. In the cases we've explored, {{filter.maxColumns()}} returns a small enough number (related to the lesser of the native-protocol page size or the user-specified limit for the query) that, after {{meanColumns}} reaches a few thousand, {{rowsPerQuery}} (the page size) is consistently set to 2.

The resulting overhead is severe. In our environment, if we fix {{rowsPerQuery}} to some reasonably large constant (e.g., 5,000), queries that with the existing logic would require over two minutes to complete can run in under ten seconds.

Using a constant clearly seems like the wrong answer. But the overhead the existing algorithm seems to introduce suggests that it isn't the right answer either. An intuitive solution might be to use the minimum of {{filter.maxRows()}} and {{filter.maxColumns()}} (or 2 if both of those are 1), but it's not immediately clear that there aren't safety considerations the algorithm is attempting to account for that this strategy does not.",ATD,viomod
